entity_type,feature_name,description,rationale,source_columns,calculation_formula
Employee,current_utilization,The current sum of active project allocations for the employee as a percentage.,Helps match resource availability for new projects and avoid over-allocation.,"allocations.allocation_by_percentage, allocations.is_allocation_active",Sum(allocation_by_percentage) where is_allocation_active == 1
Employee,average_billability,Historical percentage of time spent on billable projects vs non-billable/overhead.,Measures revenue-generating efficiency of the resource.,"timesheets.is_billable, timesheets.time",Sum(time where is_billable == True) / Sum(time)
Employee,projects_completed,Total number of completed projects the employee has worked on.,Quantifies delivery experience and tenure on historical client tasks.,"allocations.project_id, projects.project_status",Count(Distinct project_id where project_status == 'COMPLETE')
Employee,skill_count,Total number of unique skills registered for the employee.,Indicates resource breadth and flexibility for multi-functional tasks.,skills.skill,Count(Distinct skill)
Employee,years_experience,Average or maximum years of experience listed in the employee's skill set.,Provides a numeric metric of seniority and technical depth.,skills.experience,Max(experience_numeric)
Employee,average_competency_score,Mean rating across all capability scores from performance reviews.,Indicates qualitative stakeholder communication and execution scores.,"competencies.communication_score, competencies.stakeholder_management_score, ...",Mean of non-null competency scores
Project,project_duration_days,Total duration of the project from start to end date.,"Indicates project size, scope, and capacity allocation window.","projects.project_start_date, projects.project_end_date",project_end_date - project_start_date
Project,historical_team_size,Unique count of employees allocated to the project historically.,Measures complexity and coordination overhead of the project.,allocations.employee_id,Count(Distinct employee_id)
Project,skill_diversity_index,The number of unique skills required/utilized on the project.,Determines cross-functional complexity and key technical requirements.,"allocations.employee_id, skills.skill",Count(Distinct skills.skill of allocated employees)
Project,project_type_classification,"Categorical type of project, e.g. Client Project, Internal, etc.",Useful for categorizing billability and resource matching priority.,projects.type_of_project,Direct mapping of type_of_project
Project,historical_success_rate,Ratio of successful completion (on time/within budget) based on Weekly Status Reports.,"Indicates risks and project health, helping forecast resource needs.","weekly_status.scope_status, weekly_status.schedule_status",Percentage of weeks with green (or non-red) status values
